Etapa_ensino,Ano,Qt_alunos_pnae
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2009,4157339
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2010,3933582
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2011,4122464
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2012,3464486
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2013,3767006
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2014,3611783
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2015,3434972
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2016,3067690
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2017,3262517
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2018,3353212
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2019,3290874
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2020,3043894
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2021,2794108
EDUCAÇÃO DE JOVENS E ADULTOS (EJA),2022,2690900
